;# inf;% inf;# opt;% opt;# constraints;min const;max const;CG counter;min CG counter;max CG counter;% CG iter = 0;time method;time method solve time;time MILP;% prop. time orig. MILP;% prop. online time UC
CG;0;0.0;1000;100.0;126.301;119;132;126.301;119;132;0.0;976.4207888379098;176.65758000000002;7.04516;79.4742173687794;1956.2000520449803
DD1;1000;100.0;0;0.0;;;;;;;0.0;;;;;
DD1+CG;0;0.0;1000;100.0;124.007;118;129;17.503;11;25;0.0;195.58389921015166;87.75721669770623;7.145029999999999;80.61165277106423;1050.8905416299626
DD*1;750;75.0;250;25.0;124.712;120;128;0.0;0;0;25.0;;0.0001389329986572264;6.886040000000001;77.97449111457705;76.55018356669072
DD*1+CG;0;0.0;1000;100.0;125.12;120;130;1.557;0;7;25.0;20.252675878984455;10.688057322885514;6.98273;78.6932566437745;195.67569690869996
DD5;972;97.2;28;2.8000000000000003;124.14285714285714;122;126;0.0;0;0;2.8000000000000003;;0.00014529367855616957;7.251785714285715;85.71967965863927;84.25130418779285
DD5+CG;0;0.0;1000;100.0;124.914;120;130;3.829;0;13;2.8000000000000003;49.96857446490956;25.58899018212986;7.527370000000001;84.39682644626548;366.7107039042578
DD*5;223;22.3;777;77.7;128.56113256113255;125;134;0.0;0;0;77.7;;0.00015325162953851748;6.772059202059201;76.86037543275981;76.04707737388232
DD*5+CG;0;0.0;1000;100.0;128.688;124;134;0.252;0;3;77.7;3.3465839250631335;1.755033163010597;6.84737;76.62081557680371;95.25785146152931
DD10;798;79.80000000000001;202;20.200000000000003;125.24257425742574;122;128;0.0;0;0;20.200000000000003;;0.00017506195767091033;7.162425742574258;84.46250235978704;83.18023712152107
DD10+CG;0;0.0;1000;100.0;125.966;122;131;1.588;0;8;20.200000000000003;20.913847634799954;11.131476012523652;7.36982;83.22579319056346;204.87225185920892
DD*10;94;9.4;906;90.60000000000001;130.3708609271523;126;134;0.0;0;0;90.60000000000001;;0.000172611250256334;6.556181015452538;74.38865145226103;73.07277174192924
DD*10+CG;0;0.0;1000;100.0;130.431;126;134;0.101;0;2;90.60000000000001;1.3388763184213637;0.7120025399160386;6.6087299999999995;74.49566876758755;81.06539994259592
DD50;416;41.6;584;58.4;128.25513698630138;125;132;0.0;0;0;58.4;;0.0003459787597394968;6.964606164383562;81.30999717295217;79.98340471177073
DD50+CG;0;0.0;1000;100.0;128.698;125;132;0.501;0;4;58.4;6.734451776444436;3.6402048795671464;7.17542;80.93701877715974;119.76574088871949
DD*50;17;1.7000000000000002;983;98.3;134.36317395727366;131;138;0.0;0;0;98.3;;0.00033717185337691426;6.481546286876907;73.06432682170946;71.81644486797362
DD*50+CG;0;0.0;1000;100.0;134.375;131;138;0.018;0;2;98.3;0.23694248940181734;0.12490734919261934;6.490530000000001;73.11599045925611;73.25538415499017
DD100;336;33.6;664;66.4;129.48343373493975;127;133;0.0;0;0;66.4;;0.0005057307007801101;7.050737951807229;80.93082037953128;80.08555534776502
DD100+CG;0;0.0;1000;100.0;129.83;127;134;0.388;0;3;66.4;5.374296100867271;2.901947304203987;7.24279;81.12091445593491;112.33673439014898
DD*100;7;0.7000000000000001;993;99.3;135.99093655589124;132;139;0.0;0;0;99.3;;0.000509470015734224;6.68178247734139;74.68735209085202;73.99020866990361
DD*100+CG;0;0.0;1000;100.0;135.997;132;139;0.007;0;1;99.3;0.08792370133590699;0.04594932579231263;6.67977;74.66760459454392;74.47658059821067
DD500;162;16.2;838;83.8;132.7565632458234;130;134;0.0;0;0;83.8;;0.0020423073404444146;6.705942720763723;76.6950679045574;75.32183916654887
DD500+CG;0;0.0;1000;100.0;132.94;130;135;0.166;0;2;83.8;2.1711148784694667;1.152694921689987;6.785780000000001;76.51591743251373;87.90590845276904
DD*500;0;0.0;1000;100.0;138.445;137;139;0.0;0;0;100.0;;0.002048041241645813;6.520110000000001;73.40523835400381;72.2224650633304
DD*500+CG;0;0.0;1000;100.0;138.445;137;139;0.0;0;0;100.0;0.002048041241645813;0.002048041241645813;6.520110000000001;73.40523835400381;72.2224650633304
DD999;144;14.399999999999999;856;85.6;134.0;134;134;0.0;0;0;85.6;;0.0038218935104174035;6.806857476635514;77.03479801090427;76.28756566743674
DD999+CG;0;0.0;1000;100.0;134.144;134;136;0.145;0;2;85.6;1.9374454458589556;1.0233095331830977;6.883520000000001;77.0097574664231;87.55548640666062
DD*999;0;0.0;1000;100.0;138.999;138;139;0.0;0;0;100.0;;0.0037806857385635374;6.7134;75.09776316337638;74.38202882116529
DD*999+CG;0;0.0;1000;100.0;138.999;138;139;0.0;0;0;100.0;0.003780685738563538;0.003780685738563538;6.7134;75.09776316337638;74.38202882116529
